ID,Segment Type,Segment Description,Answer,Count,Percentage,It became a Relationship,Gender
293551,University,Florida International University,I don't use Tinder,0,0.0,No,female
293553,University,University of Central Florida,Yes,0,0.0,Yes,female
293555,University,University of Central Florida,No,0,0.0,No,male
293557,University,University of Central Florida,I don't use Tinder,1,1.0,Yes,female
293559,University,Castleton State College,Yes,0,0.0,No,male
293561,University,Castleton State College,No,1,1.0,No,female
293563,University,Castleton State College,I don't use Tinder,0,0.0,No,male
293565,University,Cal State Northridge,Yes,0,0.0,Yes,male
293567,University,Cal State Northridge,No,2,0.667,No,female
293569,University,Cal State Northridge,I don't use Tinder,1,0.333,No,male
293571,University,Ohio University,Yes,0,0.0,No,male
293573,University,Ohio University,No,1,1.0,Yes,male
293575,University,Ohio University,I don't use Tinder,0,0.0,No,female
293577,University,Pepperdine University,Yes,0,0.0,No,female
293579,University,Pepperdine University,No,2,1.0,No,female
293581,University,Pepperdine University,I don't use Tinder,0,0.0,Yes,female
293583,University,Providence College,Yes,0,0.0,No,female
293585,University,Providence College,No,1,1.0,Yes,female
293587,University,Providence College,I don't use Tinder,0,0.0,No,female
293589,University,Appalachian State University,Yes,16,0.139,No,female
293591,University,Appalachian State University,No,53,0.461,No,female
293593,University,Appalachian State University,I don't use Tinder,46,0.4,Yes,male
293595,University,University of Connecticut,Yes,0,0.0,No,male
293597,University,University of Connecticut,No,3,0.375,No,female
293599,University,University of Connecticut,I don't use Tinder,5,0.625,No,female
293601,University,"University of Wisconsin, Eau Claire",Yes,1,1.0,Yes,male
293603,University,"University of Wisconsin, Eau Claire",No,0,0.0,No,female
293605,University,"University of Wisconsin, Eau Claire",I don't use Tinder,0,0.0,No,female
293607,University,University of Delaware,Yes,1,0.25,No,female
293609,University,University of Delaware,No,2,0.5,Yes,female
293611,University,University of Delaware,I don't use Tinder,1,0.25,No,female
293613,University,Massachusetts Institute of Technology,Yes,0,0.0,Yes,male
293615,University,Massachusetts Institute of Technology,No,1,0.5,No,female
293617,University,Massachusetts Institute of Technology,I don't use Tinder,1,0.5,No,female
293619,University,Oregon State University,Yes,0,0.0,No,male
293621,University,Oregon State University,No,1,1.0,Yes,male
293623,University,Oregon State University,I don't use Tinder,0,0.0,No,female
293625,University,Whatsgoodly University,Yes,0,0.0,No,female
293627,University,Whatsgoodly University,No,1,1.0,No,female
293629,University,Whatsgoodly University,I don't use Tinder,0,0.0,Yes,female
293631,University,Case Western Reserve University,Yes,7,0.226,No,female
293633,University,Case Western Reserve University,No,12,0.387,No,male
293635,University,Case Western Reserve University,I don't use Tinder,12,0.387,No,female
293637,University,Michigan Technological University,Yes,0,0.0,Yes,female
293639,University,Michigan Technological University,No,3,0.75,No,male
293641,University,Michigan Technological University,I don't use Tinder,1,0.25,Yes,female
293643,University,"Meridian, Idaho",Yes,1,1.0,No,male
293645,University,"Meridian, Idaho",No,0,0.0,No,male
293647,University,"Meridian, Idaho",I don't use Tinder,0,0.0,No,female
293649,University,University of Dayton,Yes,4,0.571,Yes,female
293651,University,University of Dayton,No,3,0.429,No,male
293653,University,University of Dayton,I don't use Tinder,0,0.0,No,male
293655,University,University of Kansas,Yes,3,0.3,No,male
293657,University,University of Kansas,No,5,0.5,Yes,female
293659,University,University of Kansas,I don't use Tinder,2,0.2,No,male
293661,University,Morehead State University,Yes,0,0.0,No,female
293663,University,Morehead State University,No,0,0.0,No,female
293665,University,Morehead State University,I don't use Tinder,1,1.0,Yes,female
293667,University,University of Central Oklahoma,Yes,1,0.5,No,female
293669,University,University of Central Oklahoma,No,0,0.0,Yes,female
293671,University,University of Central Oklahoma,I don't use Tinder,1,0.5,No,female
293673,University,Syracuse University,Yes,4,0.444,No,male
293675,University,Syracuse University,No,4,0.444,No,female
293677,University,Syracuse University,I don't use Tinder,1,0.111,Yes,female
293679,University,Colby College,Yes,1,0.071,No,female
293681,University,Colby College,No,11,0.786,No,female
293683,University,Colby College,I don't use Tinder,2,0.143,No,male
293685,University,Brigham Young University,Yes,1,0.125,Yes,male
293687,University,Brigham Young University,No,3,0.375,No,female
293689,University,Brigham Young University,I don't use Tinder,4,0.5,No,male
293691,University,Arkansas State University,Yes,0,0.0,No,male
293693,University,Arkansas State University,No,1,1.0,Yes,female
293695,University,Arkansas State University,I don't use Tinder,0,0.0,No,male
293697,University,"Westport, CT",Yes,0,0.0,Yes,female
293699,University,"Westport, CT",No,0,0.0,No,male
293701,University,"Westport, CT",I don't use Tinder,1,1.0,No,female
293703,University,Centre College,Yes,0,0.0,No,female
293705,University,Centre College,No,3,0.75,Yes,female
293707,University,Centre College,I don't use Tinder,1,0.25,No,male
293709,University,Middlebury College,Yes,1,1.0,No,female
293711,University,Middlebury College,No,0,0.0,No,female
293713,University,Middlebury College,I don't use Tinder,0,0.0,Yes,female
293715,University,North Carolina State,Yes,1,1.0,No,male
293717,University,North Carolina State,No,0,0.0,No,female
293719,University,North Carolina State,I don't use Tinder,0,0.0,No,male
293721,University,University of Kentucky,Yes,0,0.0,Yes,female
293723,University,University of Kentucky,No,1,1.0,No,female
293725,University,University of Kentucky,I don't use Tinder,0,0.0,Yes,female
293727,University,Bucknell University,Yes,1,1.0,No,female
293729,University,Bucknell University,No,0,0.0,No,female
293731,University,Bucknell University,I don't use Tinder,0,0.0,No,male
293733,University,Randolph-Macon College,Yes,0,0.0,Yes,female
293735,University,Randolph-Macon College,No,0,0.0,No,male
293737,University,Randolph-Macon College,I don't use Tinder,1,1.0,No,female
293739,University,Old Dominion University,Yes,1,1.0,No,male
293741,University,Old Dominion University,No,0,0.0,Yes,male
293743,University,Old Dominion University,I don't use Tinder,0,0.0,No,male
293745,University,University of Tampa,Yes,0,0.0,No,female
293747,University,University of Tampa,No,1,1.0,No,male
293749,University,University of Tampa,I don't use Tinder,0,0.0,Yes,female
293751,University,Roger Williams University,Yes,0,0.0,No,female
293753,University,Roger Williams University,No,1,1.0,Yes,female
293755,University,Roger Williams University,I don't use Tinder,0,0.0,No,female
293757,University,Penn State University,Yes,4,0.4,No,male
293759,University,Penn State University,No,5,0.5,No,female
293761,University,Penn State University,I don't use Tinder,1,0.1,Yes,male
293763,University,Minnesota State University Mankato,Yes,1,1.0,No,female
293765,University,Minnesota State University Mankato,No,0,0.0,No,male
293767,University,Minnesota State University Mankato,I don't use Tinder,0,0.0,No,female
293769,University,University of Florida,Yes,0,0.0,Yes,female
293771,University,University of Florida,No,1,1.0,No,male
293773,University,University of Florida,I don't use Tinder,0,0.0,No,male
293775,University,Boston College,Yes,0,0.0,No,female
293777,University,Boston College,No,4,0.8,Yes,female
293779,University,Boston College,I don't use Tinder,1,0.2,No,female
293781,University,Boston University,Yes,2,0.333,Yes,female
293783,University,Boston University,No,3,0.5,No,male
293785,University,Boston University,I don't use Tinder,1,0.167,No,male
