ID,Segment Type,Segment Description,Answer,Count,Percentage,It became a Relationship,Gender
292881,Mobile,Mobile respondents,Yes,797,0.207,Yes,male
292883,Mobile,Mobile respondents,No,1969,0.511,No,female
292885,Mobile,Mobile respondents,I don't use Tinder,1090,0.283,Yes,male
292887,Web,Web-based respondents,Yes,0,0.0,No,female
292889,Web,Web-based respondents,No,0,0.0,No,female
292891,Web,Web-based respondents,I don't use Tinder,0,0.0,No,male
292893,Gender,Male respondents,Yes,472,0.213,Yes,male
292895,Gender,Male respondents,No,1172,0.528,No,male
292897,Gender,Male respondents,I don't use Tinder,574,0.259,No,female
292899,Gender,Female respondents,Yes,325,0.198,No,female
292901,Gender,Female respondents,No,797,0.487,Yes,female
292903,Gender,Female respondents,I don't use Tinder,516,0.315,No,male
292905,University,Chapman University,Yes,13,0.206,No,female
292907,University,Chapman University,No,31,0.492,No,male
292909,University,Chapman University,I don't use Tinder,19,0.302,Yes,female
292911,University,Cornell University,Yes,47,0.244,No,female
292913,University,Cornell University,No,95,0.492,Yes,female
292915,University,Cornell University,I don't use Tinder,51,0.264,No,female
292917,University,Duke University,Yes,0,0.0,No,male
292919,University,Duke University,No,2,0.667,No,female
292921,University,Duke University,I don't use Tinder,1,0.333,Yes,male
292923,University,George Washington University,Yes,1,0.25,No,female
292925,University,George Washington University,No,3,0.75,No,male
292927,University,George Washington University,I don't use Tinder,0,0.0,No,male
292929,University,Georgetown University,Yes,2,0.5,Yes,male
292931,University,Georgetown University,No,1,0.25,No,female
292933,University,Georgetown University,I don't use Tinder,1,0.25,No,female
292935,University,Harvard University,Yes,1,0.333,No,female
292937,University,Harvard University,No,2,0.667,Yes,female
292939,University,Harvard University,I don't use Tinder,0,0.0,No,female
292941,University,Indiana University,Yes,9,0.205,Yes,male
292943,University,Indiana University,No,30,0.682,No,male
292945,University,Indiana University,I don't use Tinder,5,0.114,No,female
292947,University,Johns Hopkins University,Yes,33,0.239,No,female
292949,University,Johns Hopkins University,No,76,0.551,Yes,female
292951,University,Johns Hopkins University,I don't use Tinder,29,0.21,No,female
292953,University,Northwestern University,Yes,31,0.258,No,female
292955,University,Northwestern University,No,65,0.542,No,female
292957,University,Northwestern University,I don't use Tinder,24,0.2,Yes,female
292959,University,Ohio State University,Yes,6,0.316,No,female
292961,University,Ohio State University,No,12,0.632,No,female
292963,University,Ohio State University,I don't use Tinder,1,0.053,No,male
292965,University,Princeton University,Yes,1,0.5,Yes,male
292967,University,Princeton University,No,1,0.5,No,female
292969,University,Princeton University,I don't use Tinder,0,0.0,Yes,male
292971,University,San Diego State University,Yes,5,0.192,No,male
292973,University,San Diego State University,No,15,0.577,No,female
292975,University,San Diego State University,I don't use Tinder,6,0.231,No,female
292977,University,Santa Clara University,Yes,0,0.0,Yes,female
292979,University,Santa Clara University,No,4,0.8,No,female
292981,University,Santa Clara University,I don't use Tinder,1,0.2,No,female
292983,University,Southern Methodist University,Yes,3,0.333,No,female
292985,University,Southern Methodist University,No,4,0.444,Yes,male
292987,University,Southern Methodist University,I don't use Tinder,2,0.222,No,female
292989,University,Stanford University,Yes,13,0.12,No,male
292991,University,Stanford University,No,58,0.537,No,male
292993,University,Stanford University,I don't use Tinder,37,0.343,Yes,female
292995,University,Tulane University,Yes,3,0.429,No,female
292997,University,Tulane University,No,3,0.429,Yes,female
292999,University,Tulane University,I don't use Tinder,1,0.143,No,female
293001,University,University of Pennsylvania,Yes,24,0.222,No,female
293003,University,University of Pennsylvania,No,60,0.556,No,female
293005,University,University of Pennsylvania,I don't use Tinder,24,0.222,Yes,female
293007,University,University of Wisconsin-Madison,Yes,34,0.27,No,male
293009,University,University of Wisconsin-Madison,No,71,0.563,No,female
293011,University,University of Wisconsin-Madison,I don't use Tinder,21,0.167,No,female
293013,University,University of Alabama,Yes,2,0.133,Yes,female
293015,University,University of Alabama,No,11,0.733,No,female
293017,University,University of Alabama,I don't use Tinder,2,0.133,No,female
293019,University,"University of California, Berkeley",Yes,25,0.275,No,female
293021,University,"University of California, Berkeley",No,47,0.516,Yes,female
293023,University,"University of California, Berkeley",I don't use Tinder,19,0.209,No,female
293025,University,"University of California, Davis",Yes,3,0.176,Yes,male
293027,University,"University of California, Davis",No,8,0.471,No,female
293029,University,"University of California, Davis",I don't use Tinder,6,0.353,No,female
293031,University,"University of California, Los Angeles",Yes,1,0.077,No,female
293033,University,"University of California, Los Angeles",No,7,0.538,Yes,female
293035,University,"University of California, Los Angeles",I don't use Tinder,5,0.385,No,female
293037,University,"University of California, Santa Barbara",Yes,24,0.32,No,female
293039,University,"University of California, Santa Barbara",No,34,0.453,No,male
293041,University,"University of California, Santa Barbara",I don't use Tinder,17,0.227,Yes,female
293043,University,University of Colorado Boulder,Yes,3,0.5,No,female
293045,University,University of Colorado Boulder,No,3,0.5,No,male
293047,University,University of Colorado Boulder,I don't use Tinder,0,0.0,No,female
293049,University,University of Miami,Yes,0,0.0,Yes,female
293051,University,University of Miami,No,0,0.0,No,female
293053,University,University of Miami,I don't use Tinder,1,1.0,Yes,male
293055,University,University of Michigan,Yes,14,0.163,No,female
293057,University,University of Michigan,No,49,0.57,No,female
293059,University,University of Michigan,I don't use Tinder,23,0.267,No,female
293061,University,University of Oregon,Yes,1,0.2,Yes,female
293063,University,University of Oregon,No,4,0.8,No,female
293065,University,University of Oregon,I don't use Tinder,0,0.0,No,female
293067,University,University of Southern California,Yes,1,0.1,No,female
293069,University,University of Southern California,No,7,0.7,Yes,female
293071,University,University of Southern California,I don't use Tinder,2,0.2,No,female
293073,University,University of Virginia,Yes,3,0.167,No,female
293075,University,University of Virginia,No,7,0.389,No,female
293077,University,University of Virginia,I don't use Tinder,8,0.444,Yes,female
293079,University,Vanderbilt University,Yes,23,0.235,No,male
293081,University,Vanderbilt University,No,63,0.643,Yes,male
293083,University,Vanderbilt University,I don't use Tinder,12,0.122,No,female
293085,University,Wesleyan University,Yes,0,0.0,No,female
293087,University,Wesleyan University,No,2,1.0,No,male
293089,University,Wesleyan University,I don't use Tinder,0,0.0,Yes,male
293091,University,University of Texas,Yes,12,0.164,No,male
293093,University,University of Texas,No,35,0.479,No,female
293095,University,University of Texas,I don't use Tinder,26,0.356,No,female
293097,University,"University of California, San Diego",Yes,1,1.0,Yes,female
293099,University,"University of California, San Diego",No,0,0.0,No,male
293101,University,"University of California, San Diego",I don't use Tinder,0,0.0,No,female
293103,University,Miami University (Ohio),Yes,0,0.0,No,female
293105,University,Miami University (Ohio),No,1,0.5,Yes,female
293107,University,Miami University (Ohio),I don't use Tinder,1,0.5,No,female
293109,University,University of Maine,Yes,0,0.0,Yes,female
293111,University,University of Maine,No,3,0.75,No,male
293113,University,University of Maine,I don't use Tinder,1,0.25,No,male
293115,University,Texas Tech University,Yes,3,0.231,No,male
293117,University,Texas Tech University,No,5,0.385,Yes,female
293119,University,Texas Tech University,I don't use Tinder,5,0.385,No,female
293121,University,University of North Carolina,Yes,1,0.083,No,female
293123,University,University of North Carolina,No,8,0.667,No,female
293125,University,University of North Carolina,I don't use Tinder,3,0.25,Yes,female
293127,University,University of Arkansas,Yes,12,0.182,No,female
293129,University,University of Arkansas,No,35,0.53,No,female
293131,University,University of Arkansas,I don't use Tinder,19,0.288,No,female
293133,University,University of Mississippi,Yes,2,0.667,Yes,female
293135,University,University of Mississippi,No,1,0.333,No,female
293137,University,University of Mississippi,I don't use Tinder,0,0.0,Yes,female
293139,University,Baylor University,Yes,2,0.286,No,female
293141,University,Baylor University,No,2,0.286,No,female
293143,University,Baylor University,I don't use Tinder,3,0.429,No,male
293145,University,Texas A&M University,Yes,13,0.241,Yes,female
293147,University,Texas A&M University,No,29,0.537,No,female
293149,University,Texas A&M University,I don't use Tinder,12,0.222,No,female
293151,University,University of Oklahoma,Yes,0,0.0,No,female
293153,University,University of Oklahoma,No,4,0.8,Yes,male
293155,University,University of Oklahoma,I don't use Tinder,1,0.2,No,female
293157,University,Yale University,Yes,1,1.0,No,male
293159,University,Yale University,No,0,0.0,No,female
293161,University,Yale University,I don't use Tinder,0,0.0,Yes,female
293163,University,Cal Poly San Luis Obispo,Yes,8,0.32,No,female
293165,University,Cal Poly San Luis Obispo,No,10,0.4,Yes,male
293167,University,Cal Poly San Luis Obispo,I don't use Tinder,7,0.28,No,female
293169,University,Carnegie Mellon University,Yes,1,0.25,No,female
293171,University,Carnegie Mellon University,No,3,0.75,No,female
293173,University,Carnegie Mellon University,I don't use Tinder,0,0.0,Yes,female
293175,University,Clemson University,Yes,2,0.5,No,female
293177,University,Clemson University,No,0,0.0,No,female
293179,University,Clemson University,I don't use Tinder,2,0.5,No,female
